player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Ravi Bopara,PBKS,https://scores.iplt20.com/ipl/playerimages/Ravi Bopara.png?v=1,138,5,5,0,84,27.60,119,115.96,0,1,8,7
Karan Goel,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,124,9,9,1,38,15.50,133,93.23,0,0,9,4
Venugopal Rao,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,124,16,13,2,32,11.27,114,108.77,0,0,6,3
Roelof van der Merwe,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,122,10,8,0,35,15.25,98,124.48,0,0,8,8
Sunny Sohal,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,115,8,8,0,43,14.37,93,123.65,0,0,9,8
Shane Warne,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,108,13,11,3,34*,13.50,116,93.10,0,0,6,4
Rob Quiney,RR,https://scores.iplt20.com/ipl/playerimages/Rob Quiney.png?v=1,103,7,7,0,51,14.71,102,100.98,0,1,12,3
David Hussey,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,98,4,4,0,43,24.50,59,166.10,0,0,7,6
Swapnil Asnodkar,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,98,8,8,0,44,12.25,93,105.37,0,0,11,4
Albie Morkel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,97,12,10,6,21*,24.25,70,138.57,0,0,8,4
Kevin Pietersen,RCB,https://scores.iplt20.com/ipl/playerimages/Kevin Pietersen.png?v=1,93,6,6,0,37,15.50,85,109.41,0,0,8,2
Jacob Oram,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,88,11,8,2,41*,14.66,93,94.62,0,0,5,4
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,84,13,10,2,20,10.50,53,158.49,0,0,6,5
Laxmi Ratan Shukla,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,83,9,6,1,48*,16.60,85,97.64,0,0,5,3
Lee Carseldine,RR,https://scores.iplt20.com/ipl/playerimages/Lee Carseldine.png?v=1,81,5,5,1,39,20.25,68,119.11,0,0,11,0
Abhishek Raut,RR,https://scores.iplt20.com/ipl/playerimages/Abhishek Raut.png?v=1,78,9,7,3,36*,19.50,61,127.86,0,0,5,3
Wriddhiman Saha,KKR,https://scores.iplt20.com/ipl/playerimages/Wriddhiman Saha.png?v=1,72,8,7,4,25*,24.00,41,175.60,0,0,3,4
Azhar Bilakhia,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,67,6,6,2,22,16.75,81,82.71,0,0,5,0
